SpeciesID,Source,Year,SITEID
Aasp,Berger and Whitlatch 1997,1985,CTAP
Aasp,MIT Sea Grant 2011,2009,CTMF
Aasp,MIT Sea Grant 2003,2000,MADI
Aasp,MIT Sea Grant 2003,2000,MAFR
Aasp,MIT Sea Grant 2003,2000,MAGP
Aasp,MIT Sea Grant 2003,2000,MAHCM
Aasp,Carman et al 2009,2007,MAMV
Aasp,MIT Sea Grant 2003,2000,MARW
Aasp,MIT Sea Grant 2003,2000,MASM
Aasp,MIT Sea Grant 2003,2003,MASP
Aasp,MIT Sea Grant 2003,2000,MATP
Aasp,MIT Sea Grant 2003,2000,MAWH
Aasp,MIT Sea Grant 2003,2003,MEPY
Aasp,MIT Sea Grant 2003,2000,RIAH
Aasp,MIT Sea Grant 2003,2000,RICH
Aasp,Whitlatch and Osman 2000,1997,RIJT
Aasp,MIT Sea Grant 2011,2009,RIMP
Aasp,MIT Sea Grant 2003,2000,RINS
Aasp,MIT Sea Grant 2003,2000,RIPC
Aasp,MIT Sea Grant 2003,2000,RIRW
Aasp,MIT Sea Grant 2003,2000,RISP
Aasp,MIT Sea Grant 2003,2000,RIWM
Dvex,Osman and Whitlatch 2007,2000,CTAP
Dvex,MIT Sea Grant 2011,2007,MABP
Dvex,USGS Woods Hole Science Center 2003-2007,2003,MACH2
Dvex,MIT Sea Grant 2003,2000,MAMMA
Dvex,Osterville/MA/Cotuit Bay,2005,MAOS
Dvex,USGS Woods Hole Science Center 2003-2007,2003,MAPT
Dvex,MIT Sea Grant 2011,2006,MARP
Dvex,MIT Sea Grant 2011,2008,MASH
Dvex,MIT Sea Grant 2003-2007,2000,MASM
Dvex,MIT Sea Grant 2003,2000,MATM
Dvex,MIT Sea Grant 2003-2007,2004,MAVH
Dvex,USGS Woods Hole Science Center 2003-2007,2004,MAWF
Dvex,USGS Woods Hole Science Center 2003-2007,2000,MAWH2
Dvex,USGS Woods Hole Science Center 2003-2007,2006,MAWI
Dvex,MIT Sea Grant 2008,2008,MEBH
Dvex,Ruiz et al (unpublished),2001,MEBI
Dvex,USGS Woods Hole Science Center 2003-2007,2002,MEBLI
Dvex,USGS Woods Hole Science Center 2003-2007,1982,MEDA
Dvex,Lazzeri and Auker 2022,2019,MEDMC
Dvex,Bullard et al 2007,2006,MEEC
