Date,Panel ID,Depth,Panel location,Species,Area
30-Jun-19,Shallow_front_1,Shallow,DMC,Botrylloides_violaceous,5.88
30-Jun-19,Shallow_front_2,Shallow,DMC,Botrylloides_violaceous,0.52
30-Jun-19,Shallow_front_3,Shallow,DMC,Botrylloides_violaceous,4.97
30-Jun-19,Shallow_back_1,Shallow,DMC,Botrylloides_violaceous,2.32
30-Jun-19,Shallow_back_2,Shallow,DMC,Botrylloides_violaceous,0.49
30-Jun-19,Shallow_back_3,Shallow,DMC,Botrylloides_violaceous,1.02
30-Jun-19,Shallow_front_1,Shallow,DMC,Didemnum_vexillum,0.35
30-Jun-19,Shallow_front_2,Shallow,DMC,Didemnum_vexillum,0.89
30-Jun-19,Shallow_front_3,Shallow,DMC,Didemnum_vexillum,1.06
30-Jun-19,Shallow_back_1,Shallow,DMC,Didemnum_vexillum,0.85
30-Jun-19,Shallow_back_2,Shallow,DMC,Didemnum_vexillum,0.12
30-Jun-19,Shallow_back_3,Shallow,DMC,Didemnum_vexillum,0.03
30-Jun-19,Shallow_front_1,Shallow,DMC,Mytilus_edulis,4.5
30-Jun-19,Shallow_front_2,Shallow,DMC,Mytilus_edulis,10.06
30-Jun-19,Shallow_front_3,Shallow,DMC,Mytilus_edulis,16.02
30-Jun-19,Shallow_back_1,Shallow,DMC,Mytilus_edulis,2.5
30-Jun-19,Shallow_back_2,Shallow,DMC,Mytilus_edulis,18.89
30-Jun-19,Shallow_back_3,Shallow,DMC,Mytilus_edulis,2.65
30-Jun-19,Shallow_front_1,Shallow,DMC,Tubularia_spp,2.36
30-Jun-19,Shallow_front_2,Shallow,DMC,Tubularia_spp,15
30-Jun-19,Shallow_front_3,Shallow,DMC,Tubularia_spp,2.15
30-Jun-19,Shallow_back_1,Shallow,DMC,Tubularia_spp,9.56
30-Jun-19,Shallow_back_2,Shallow,DMC,Tubularia_spp,23.65
30-Jun-19,Shallow_back_3,Shallow,DMC,Tubularia_spp,1.38
30-Jun-19,Shallow_front_1,Shallow,DMC,Ciona_intestinalis,29.3
30-Jun-19,Shallow_front_2,Shallow,DMC,Ciona_intestinalis,12.5
30-Jun-19,Shallow_front_3,Shallow,DMC,Ciona_intestinalis,34.2
30-Jun-19,Shallow_back_1,Shallow,DMC,Ciona_intestinalis,38.2
30-Jun-19,Shallow_back_2,Shallow,DMC,Ciona_intestinalis,14.5
30-Jun-19,Shallow_back_3,Shallow,DMC,Ciona_intestinalis,15.2
30-Jun-19,Deep_front_1,Deep,DMC,Botrylloides_violaceous,2.13
30-Jun-19,Deep_front_2,Deep,DMC,Botrylloides_violaceous,4.52
30-Jun-19,Deep_front_3,Deep,DMC,Botrylloides_violaceous,6.32
30-Jun-19,Deep_back_1,Deep,DMC,Botrylloides_violaceous,3.31
30-Jun-19,Deep_back_2,Deep,DMC,Botrylloides_violaceous,2.54
30-Jun-19,Deep_back_3,Deep,DMC,Botrylloides_violaceous,2.65
30-Jun-19,Deep_front_1,Deep,DMC,Didemnum_vexillum,15.2
30-Jun-19,Deep_front_2,Deep,DMC,Didemnum_vexillum,16.3
30-Jun-19,Deep_front_3,Deep,DMC,Didemnum_vexillum,17.2
30-Jun-19,Deep_back_1,Deep,DMC,Didemnum_vexillum,32.5
30-Jun-19,Deep_back_2,Deep,DMC,Didemnum_vexillum,3.5
30-Jun-19,Deep_back_3,Deep,DMC,Didemnum_vexillum,6.53
30-Jun-19,Deep_front_1,Deep,DMC,Mytilus_edulis,2.3
30-Jun-19,Deep_front_2,Deep,DMC,Mytilus_edulis,5.3
30-Jun-19,Deep_front_3,Deep,DMC,Mytilus_edulis,6.1
30-Jun-19,Deep_back_1,Deep,DMC,Mytilus_edulis,5.2
30-Jun-19,Deep_back_2,Deep,DMC,Mytilus_edulis,9.63
30-Jun-19,Deep_back_3,Deep,DMC,Mytilus_edulis,4.56
30-Jun-19,Deep_front_1,Deep,DMC,Tubularia_spp,7.12
30-Jun-19,Deep_front_2,Deep,DMC,Tubularia_spp,6.44
30-Jun-19,Deep_front_3,Deep,DMC,Tubularia_spp,3.65
30-Jun-19,Deep_back_1,Deep,DMC,Tubularia_spp,2.54
30-Jun-19,Deep_back_2,Deep,DMC,Tubularia_spp,3.22
30-Jun-19,Deep_back_3,Deep,DMC,Tubularia_spp,6.98
30-Jun-19,Deep_front_1,Deep,DMC,Ciona_intestinalis,2.3
30-Jun-19,Deep_front_2,Deep,DMC,Ciona_intestinalis,0
30-Jun-19,Deep_front_3,Deep,DMC,Ciona_intestinalis,1.2
30-Jun-19,Deep_back_1,Deep,DMC,Ciona_intestinalis,0
30-Jun-19,Deep_back_2,Deep,DMC,Ciona_intestinalis,2
30-Jun-19,Deep_back_3,Deep,DMC,Ciona_intestinalis,0
